Player,Season,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent
Julian Speroni,2017-2018,0,0,36,990,14,0.0,213.6,0.0,3,175,21.3,2,0,0,2.9
James Tomkins,2017-2018,3,0,99,2386,32,22.4,712.6,309.0,9,512,104.7,9,0,8,4.4
Scott Dann,2017-2018,1,0,32,1434,26,62.3,342.2,268.0,0,211,67.0,1,0,4,0.3
Joel Ward,2017-2018,0,1,41,1613,25,163.5,340.6,58.0,0,276,56.3,4,0,4,0.2
Martin Kelly,2017-2018,0,0,34,1193,21,25.7,222.6,84.0,1,185,33.3,4,0,1,0.6
Damien Delaney,2017-2018,0,0,1,95,5,0.3,40.0,0.0,0,19,4.0,0,0,0,0.2
Pape SouarÃ©,2017-2018,0,0,1,8,0,1.1,0.2,0.0,0,3,0.1,0,0,0,0.0
Jeffrey Schlupp,2017-2018,0,2,50,1742,30,189.7,339.6,155.0,0,281,68.6,3,0,3,0.2
Patrick van Aanholt,2017-2018,5,1,95,2182,38,303.8,537.0,319.0,7,448,116.3,6,0,7,3.1
Jason Puncheon,2017-2018,0,0,11,574,14,93.9,46.4,112.0,0,38,25.1,0,0,5,0.3
Wilfried Zaha,2017-2018,9,7,136,2549,31,716.9,668.0,1125.0,8,404,251.0,10,0,5,10.6
James McArthur,2017-2018,5,2,101,2425,35,333.0,490.6,566.0,9,416,138.9,7,0,5,4.7
Chung-yong Lee,2017-2018,0,0,8,131,3,32.0,4.4,10.0,0,23,4.6,0,0,0,0.3
Yohan Cabaye,2017-2018,0,4,73,2374,36,754.0,431.2,348.0,3,415,153.5,8,0,7,0.2
Bakary Sako,2017-2018,3,0,36,466,10,103.1,143.2,227.0,1,115,46.9,1,0,0,0.1
Andros Townsend,2017-2018,2,9,121,3120,48,1012.1,626.0,587.0,7,552,222.8,9,0,3,1.4
Luka Milivojevic,2017-2018,10,2,144,3079,52,379.0,873.8,432.0,21,630,168.6,8,0,8,13.5
Connor Wickham,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Christian Benteke,2017-2018,3,7,84,2234,36,406.7,325.2,845.0,5,174,157.5,6,0,6,2.5
Mamadou Sakho,2017-2018,1,2,81,1597,23,30.7,426.2,77.0,18,405,53.6,6,0,1,1.0
Timothy Fosu-Mensah,2017-2018,0,0,39,1592,29,103.7,326.6,43.0,3,279,47.4,2,0,2,1.0
Jairo Riedewald,2017-2018,0,0,23,435,6,21.5,74.4,12.0,0,100,10.6,2,0,0,0.1
Jason Lokilo,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
Olayinka Fredrick Oladotun Ladapo,2017-2018,0,0,1,16,1,1.1,0.4,0.0,0,3,0.2,0,0,0,1.0
Sullay Kaikai,2017-2018,0,0,1,13,0,0.3,5.2,0.0,0,5,0.6,0,0,0,0.1
Keshi Anderson,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3
Levi Lumeka,2017-2018,0,0,1,25,0,0.5,4.2,18.0,0,3,2.3,0,0,0,0.0
Jordon Mutch,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Dion Henry,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
Aaron Wan-Bissaka,2017-2018,0,0,15,627,10,60.0,207.2,2.0,0,116,26.8,2,0,1,0.0
Jaroslaw Jach,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Erdal Rakip,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Alexander SÃ¸rloth,2017-2018,0,0,8,360,9,74.0,48.6,102.0,0,25,22.5,0,0,0,0.1
Nya Kirby,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Diego Cavalieri,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
James Daly,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
Theo Walcott,2017-2018,3,3,62,1214,17,234.9,316.6,406.0,3,226,95.9,4,0,2,2.1
Jordan Pickford,2017-2018,0,0,145,3420,58,30.1,873.6,4.0,16,724,90.7,10,0,0,8.3
Joel Robles,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2
Maarten Stekelenburg,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3
Leighton Baines,2017-2018,2,3,82,1909,34,373.5,407.4,102.0,10,381,88.2,5,0,1,4.0
Seamus Coleman,2017-2018,0,1,39,1035,12,113.7,227.6,69.0,0,198,41.2,4,0,0,0.5
Phil Jagielka,2017-2018,0,0,60,2063,39,24.1,529.2,108.0,5,415,66.2,6,0,2,2.7
Matthew Pennington,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
Ramiro Funes Mori,2017-2018,0,0,3,119,2,0.9,29.2,6.0,0,14,3.6,0,0,1,0.0
Ashley Williams,2017-2018,1,0,56,1830,31,39.0,518.0,132.0,3,332,68.9,5,1,3,2.1
Mason Holgate,2017-2018,0,0,37,1183,14,93.9,285.8,105.0,0,214,48.5,4,0,3,1.0
Jonjoe Kenny,2017-2018,0,2,50,1589,31,184.5,362.4,47.0,2,309,59.5,5,0,2,2.1
Michael Keane,2017-2018,0,1,81,2559,46,58.4,703.4,124.0,11,513,88.7,7,0,3,5.1
Yannick Bolasie,2017-2018,1,1,35,848,14,109.0,98.6,204.0,0,80,40.8,3,0,0,0.2
Kevin Mirallas,2017-2018,0,0,5,135,8,20.2,16.4,42.0,0,19,7.9,0,0,1,0.8
James McCarthy,2017-2018,0,0,6,204,6,19.3,33.8,4.0,0,41,5.8,0,0,0,0.0
Muhamed Besic,2017-2018,0,0,2,46,0,11.5,18.2,0.0,0,10,3.0,0,0,0,0.1
Morgan Schneiderlin,2017-2018,0,0,52,2124,38,159.2,361.2,52.0,1,344,57.2,6,1,4,0.5
Idrissa Gueye,2017-2018,2,2,87,2749,45,303.6,577.0,166.0,7,552,104.6,9,1,6,0.9
Tom Davies,2017-2018,2,2,66,1892,24,207.2,242.8,218.0,3,223,65.8,6,0,7,0.4
Ademola Lookman,2017-2018,0,1,10,153,6,20.5,12.0,43.0,0,30,7.5,0,0,0,0.1
Davy Klaassen,2017-2018,0,0,7,248,6,33.7,23.0,28.0,0,18,8.3,0,0,0,0.4
Dominic Calvert-Lewin,2017-2018,4,8,88,1871,28,322.6,354.0,630.0,3,255,130.2,6,0,4,3.5
Sandro RamÃ­rez,2017-2018,0,0,10,275,7,28.3,8.8,67.0,0,21,9.8,1,0,0,0.4
Wayne Rooney,2017-2018,10,3,113,2265,33,573.7,585.0,467.0,20,480,162.4,7,0,5,9.3
Gylfi Sigurdsson,2017-2018,4,4,96,2257,40,614.9,485.6,437.0,8,396,154.0,6,0,2,1.9
Cuco Martina,2017-2018,0,2,55,1830,30,238.8,468.8,39.0,0,367,74.9,5,0,2,1.1
Eliaquim Mangala,2017-2018,0,0,22,617,7,19.9,113.8,32.0,0,118,16.8,2,0,0,0.1
Nikola Vlasic,2017-2018,0,0,18,572,12,159.1,91.8,85.0,0,80,33.6,1,0,0,0.0
Oumar Niasse,2017-2018,8,3,83,1076,23,159.2,370.6,634.0,14,248,115.2,0,0,2,5.0
Beni Baningime,2017-2018,0,0,7,192,2,3.8,9.4,0.0,0,20,1.3,0,0,1,0.0
Cenk Tosun,2017-2018,5,0,55,984,13,226.4,232.4,304.0,9,192,75.6,4,0,0,2.1
Luke Garbutt,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Joel Coleman,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.8
Jonas LÃ¶ssl,2017-2018,0,1,135,3420,58,30.0,846.8,0.0,11,701,87.8,10,0,1,6.8
Christopher Schindler,2017-2018,0,2,102,3264,53,107.1,928.0,149.0,15,692,119.1,9,1,6,3.2
Chris LÃ¶we,2017-2018,0,0,60,1585,26,125.5,266.0,39.0,0,321,43.0,7,0,1,1.1
Tommy Smith,2017-2018,0,1,50,1902,31,251.6,322.0,50.0,2,311,62.8,5,0,7,0.2
Michael Hefele,2017-2018,0,0,1,32,1,0.1,4.0,0.0,0,1,0.4,0,0,1,0.1
Martin Cranie,2017-2018,0,0,2,179,7,1.7,44.0,2.0,0,35,4.7,0,0,0,0.2
Jon Gorenc Stankovic,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2
Mark Hudson,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
Mathias Jorgensen,2017-2018,0,3,107,3420,58,123.6,768.6,169.0,9,623,106.2,10,0,6,6.6
Aaron Mooy,2017-2018,4,3,113,3066,52,848.8,753.2,350.0,8,576,195.2,10,0,4,4.7
Rajiv van La Parra,2017-2018,3,0,74,2131,36,261.6,322.6,544.0,3,240,112.7,6,1,3,0.4
Jonathan Hogg,2017-2018,0,0,53,2396,40,172.8,475.0,61.0,0,400,71.2,7,1,8,0.2
Philip Billing,2017-2018,0,0,22,755,11,58.6,111.4,26.0,0,98,19.3,3,0,3,0.2
Joe Lolley,2017-2018,1,0,11,217,5,20.0,50.6,47.0,0,28,11.8,0,0,1,0.1
Jack Payne,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Dean Whitehead,2017-2018,0,0,4,68,3,1.1,6.6,0.0,0,16,0.8,0,0,0,0.1
Harry Bunn,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Sean Scannell,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Elias Kachunga,2017-2018,1,1,46,1327,23,152.1,151.0,246.0,0,151,54.5,6,0,1,0.1
Tom Ince,2017-2018,2,1,82,2450,39,331.3,253.0,794.0,3,269,138.0,7,0,0,0.4
Danny Williams,2017-2018,0,0,28,1115,22,83.0,131.4,56.0,0,134,27.0,0,0,2,0.0
Collin Quaner,2017-2018,0,4,44,1268,23,255.7,209.0,283.0,0,173,74.8,3,0,4,4.8
Laurent Depoitre,2017-2018,6,2,94,1807,34,191.4,352.0,451.0,14,283,99.6,4,0,1,2.6
Steve Mounie,2017-2018,7,2,92,1849,32,270.7,377.0,600.0,12,269,124.5,6,0,2,1.7
Scott Malone,2017-2018,0,1,41,1110,23,146.8,221.6,97.0,4,211,46.5,3,0,3,0.2
Florent Hadergjonaj,2017-2018,0,1,51,1670,28,381.8,310.0,95.0,5,274,78.8,4,0,3,0.1
Abdelhamid Sabiri,2017-2018,0,1,10,217,5,40.6,30.8,53.0,0,30,12.4,1,0,1,0.0
Robert Green,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2
Terence Kongolo,2017-2018,0,0,30,1047,14,52.2,268.0,47.0,2,182,36.7,2,0,0,0.0
Alex Pritchard,2017-2018,1,2,40,997,12,300.3,173.6,213.0,3,168,68.7,3,0,1,0.1
Kasper Schmeichel,2017-2018,0,0,123,2965,47,11.1,687.2,0.0,17,592,69.9,8,0,3,4.1
Ben Hamer,2017-2018,0,0,9,274,7,0.0,51.8,0.0,0,54,5.1,1,0,0,0.1
Wes Morgan,2017-2018,0,0,61,2817,52,62.0,530.0,158.0,1,390,75.1,5,0,4,2.9
Christian Fuchs,2017-2018,0,1,57,1917,35,282.2,396.6,55.0,8,370,73.5,4,0,1,1.9
Danny Simpson,2017-2018,0,0,55,2306,41,121.2,444.2,42.0,0,342,60.7,5,0,4,2.2
Robert Huth,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
Yohan Benalouane,2017-2018,0,0,1,90,2,1.3,24.8,18.0,0,7,4.4,0,0,0,0.1
Benjamin Chilwell,2017-2018,0,2,65,1848,30,332.1,382.8,63.0,4,381,78.0,6,1,1,3.1
Harry Maguire,2017-2018,2,4,117,3420,60,254.3,955.8,478.0,10,716,168.8,9,0,7,10.9
Riyad Mahrez,2017-2018,12,13,195,2948,51,924.0,966.0,932.0,19,682,282.6,9,0,2,8.2
Marc Albrighton,2017-2018,2,8,107,2533,42,718.3,580.0,300.0,12,458,160.2,8,1,5,2.2
Demarai Gray,2017-2018,3,3,80,1683,35,412.8,290.6,461.0,2,308,116.7,4,0,2,0.6
Daniel Amartey,2017-2018,0,0,13,486,7,10.3,81.2,0.0,0,53,9.2,3,1,0,0.2
Nampalys Mendy,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Wilfred Ndidi,2017-2018,0,4,78,2896,45,230.7,640.4,299.0,4,449,117.2,9,2,6,0.4
Ahmed Musa,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4
Vicente Iborra,2017-2018,3,0,58,1411,23,131.6,341.6,150.0,6,293,62.3,3,0,0,0.1
Jamie Vardy,2017-2018,20,2,183,3248,57,439.9,822.8,1222.0,28,674,248.6,8,0,3,21.7
Shinji Okazaki,2017-2018,6,3,76,1314,19,228.1,347.6,508.0,7,275,107.9,5,0,2,2.9
Kelechi Iheanacho,2017-2018,3,4,54,818,17,185.6,214.2,350.0,5,171,74.5,1,0,2,0.8
Eldin Jakupovic,2017-2018,0,0,4,180,6,0.0,67.8,0.0,0,36,6.8,0,0,0,0.1
Matty James,2017-2018,0,0,26,991,15,52.7,114.6,145.0,0,121,31.4,4,0,2,0.2
Aleksandar Dragovic,2017-2018,0,0,28,766,14,3.6,177.8,35.0,0,166,21.8,4,0,2,0.1
Hamza Choudhury,2017-2018,0,1,13,375,9,20.2,68.0,16.0,0,60,10.4,0,0,1,0.0
George Thomas,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Adrien Sebastian Perruchet Silva,2017-2018,0,2,23,760,18,120.0,133.2,65.0,0,128,31.8,1,0,3,0.0
Fousseni DiabatÃ©,2017-2018,0,1,21,579,12,130.8,98.6,67.0,0,72,29.7,0,0,1,0.1
Harvey Barnes,2017-2018,0,0,3,8,0,1.0,0.2,6.0,0,8,0.6,0,0,0,0.0
Sam Hughes,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Layton Ndukwu,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Alex Oxlade-Chamberlain,2017-2018,3,7,94,1718,28,625.1,548.0,494.0,5,423,166.5,5,0,3,2.2
Simon Mignolet,2017-2018,0,0,67,1710,24,0.0,281.0,0.0,0,329,28.0,7,0,3,1.1
Loris Karius,2017-2018,0,0,88,1710,14,0.0,280.6,0.0,5,382,27.9,10,0,1,1.9
Dejan Lovren,2017-2018,2,1,110,2124,24,104.5,656.4,242.0,10,539,100.2,11,0,4,1.5
Alberto Moreno,2017-2018,0,1,52,1264,19,250.1,261.8,106.0,3,328,61.7,6,0,1,1.2
Nathaniel Clyne,2017-2018,0,0,7,173,1,23.8,21.8,41.0,0,25,8.7,1,0,1,0.3
Joseph Gomez,2017-2018,0,2,86,1901,22,285.6,437.4,46.0,9,480,76.9,9,0,3,2.2
Joel Matip,2017-2018,1,0,81,1995,27,96.1,544.8,140.0,3,470,78.1,9,0,3,1.7
Ragnar Klavan,2017-2018,1,0,78,1449,15,65.0,357.2,43.0,9,384,46.6,8,0,0,1.8
James Milner,2017-2018,0,3,77,1759,25,615.5,437.2,272.0,4,459,132.5,6,0,3,2.5
Trent Alexander-Arnold,2017-2018,1,2,83,1573,17,399.2,358.2,142.0,10,385,90.1,8,0,3,5.5
Leiva Lucas,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Jordan Henderson,2017-2018,1,1,75,2169,21,448.8,417.0,110.0,3,382,97.8,14,0,1,1.2
Philippe Coutinho,2017-2018,7,7,103,1109,14,624.4,550.4,519.0,15,381,169.4,5,0,0,3.0
Emre Can,2017-2018,3,6,92,2089,29,426.4,546.4,231.0,10,499,120.6,8,0,8,4.0
Adam Lallana,2017-2018,0,0,13,234,1,113.4,32.6,128.0,0,37,27.3,1,0,1,0.3
Oluwaseyi Ojo,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Sadio ManÃ©,2017-2018,10,8,147,2189,24,739.1,677.4,964.0,8,499,238.0,15,1,3,8.5
Marko Grujic,2017-2018,0,0,3,14,0,11.7,7.4,0.0,0,9,1.9,0,0,0,0.4
Georginio Wijnaldum,2017-2018,1,2,85,2381,23,356.2,341.8,399.0,1,406,109.9,15,0,1,2.2
Ben Woodburn,2017-2018,0,0,1,6,0,2.3,0.4,2.0,0,3,0.5,0,0,0,0.3
Mohamed Salah,2017-2018,32,12,303,2905,29,942.5,1496.2,2109.0,26,881,454.4,15,0,1,56.7
Roberto Firmino,2017-2018,15,8,181,2760,32,834.5,951.0,1341.0,29,758,312.7,16,0,1,36.1
Danny Ings,2017-2018,1,1,18,262,0,42.0,57.8,143.0,0,53,24.0,3,0,0,0.2
Divock Origi,2017-2018,0,0,1,9,1,0.0,0.0,0.0,0,3,0.0,0,0,0,0.2
Dominic Solanke,2017-2018,1,2,38,581,4,199.4,123.8,350.0,2,107,66.4,3,0,0,1.6
Virgil van Dijk,2017-2018,0,0,78,2253,28,122.6,601.0,277.0,5,481,100.2,8,0,1,7.3
Andrew Robertson,2017-2018,1,5,111,1940,18,414.5,424.0,174.0,12,514,101.3,10,0,2,7.4
Jon Flanagan,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Danny Ward,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Conor Masterson,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Curtis Jones,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Rafael Camacho,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Ederson Santana de Moraes,2017-2018,0,0,158,3195,26,10.0,546.2,0.0,10,666,55.6,16,0,1,9.0
Claudio Bravo,2017-2018,0,0,10,224,1,0.0,45.2,0.0,1,42,4.5,1,0,0,0.5
John Stones,2017-2018,0,0,70,1301,11,26.3,283.4,120.0,5,334,43.2,9,0,0,3.1
Aleksandar Kolarov,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Vincent Kompany,2017-2018,1,1,60,1394,11,76.5,399.6,116.0,2,326,59.2,6,0,6,2.9
NicolÃ¡s Otamendi,2017-2018,4,0,156,2966,25,224.6,846.6,363.0,21,742,143.7,15,0,9,25.8
Fabian Delph,2017-2018,1,2,55,1740,17,263.7,369.2,62.0,0,398,69.4,6,0,2,0.5
Raheem Sterling,2017-2018,18,17,229,2584,23,838.2,969.8,1488.0,19,701,329.7,13,1,3,27.6
David Silva,2017-2018,9,11,169,2431,18,1118.5,875.8,867.0,26,671,286.5,14,0,5,11.5
Gnegneri Yaya TourÃ©,2017-2018,0,2,16,227,2,122.6,105.0,72.0,0,99,29.8,0,0,1,0.8
Fernando Luiz Rosa,2017-2018,5,4,120,2880,24,511.9,800.2,411.0,9,596,172.4,15,0,7,4.6
Fernando Francisco Reges,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Kevin De Bruyne,2017-2018,8,18,209,3073,22,1744.2,1146.6,797.0,25,872,368.9,19,0,2,21.4
Ilkay GÃ¼ndogan,2017-2018,4,2,82,1504,15,406.4,381.4,408.0,9,376,119.3,6,0,3,2.3
Manuel Agudo DurÃ¡n,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Leroy SanÃ©,2017-2018,10,15,179,2415,22,891.3,842.4,1013.0,17,647,274.4,12,0,4,13.4
Bernardo Mota Veiga de Carvalho e Silva,2017-2018,6,5,112,1514,10,508.7,475.6,464.0,8,440,144.4,9,0,0,1.4
Sergio AgÃ¼ero,2017-2018,21,6,169,1960,12,570.8,966.4,1484.0,22,740,302.5,13,0,2,10.7
Gabriel Fernando de Jesus,2017-2018,13,7,126,1660,12,360.3,603.6,1089.0,18,473,204.9,9,0,6,17.1
Kyle Walker,2017-2018,0,6,138,2784,22,511.4,542.4,117.0,8,691,117.1,15,1,2,12.3
Danilo Luiz da Silva,2017-2018,3,2,100,1340,11,158.1,376.0,176.0,8,398,71.1,9,0,2,2.8
Benjamin Mendy,2017-2018,0,1,20,360,1,139.3,84.2,48.0,1,96,27.2,2,0,2,0.4
Phil Foden,2017-2018,0,1,8,45,1,32.1,29.2,10.0,0,31,7.1,0,0,0,0.0
Brahim Diaz,2017-2018,0,0,5,50,1,5.6,6.8,53.0,0,14,6.6,0,0,0,0.0
Oleksandr Zinchenko,2017-2018,0,0,16,530,3,145.9,116.4,21.0,0,104,28.3,3,0,1,0.0
Oluwatosin Adarabioyo,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
Aymeric Laporte,2017-2018,0,0,35,806,5,52.8,165.8,34.0,2,204,25.4,4,0,1,1.5
Lukas Nmecha,2017-2018,0,0,2,14,0,3.1,0.0,0.0,0,4,0.3,0,0,0,0.1
Alexis SÃ¡nchez,2017-2018,9,10,152,2546,32,1155.2,823.2,1281.0,13,515,326.1,11,0,5,3.0
Nemanja Matic,2017-2018,1,1,91,3117,26,427.9,681.4,168.0,3,576,127.9,16,0,6,9.1
David De Gea,2017-2018,0,0,172,3330,28,10.0,821.2,0.0,10,757,83.4,18,0,0,44.3
Sergio Romero,2017-2018,0,0,7,90,0,0.0,26.4,0.0,0,26,2.6,1,0,0,0.7
Joel Dinis Castro Pereira,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.1
Chris Smalling,2017-2018,4,0,123,2535,24,35.3,743.8,230.0,9,590,101.2,11,0,4,11.5
Phil Jones,2017-2018,0,0,116,1973,11,36.6,486.4,12.0,19,554,53.6,15,0,2,5.2
Luke Shaw,2017-2018,0,0,48,787,2,127.0,142.6,144.0,4,216,41.5,7,0,2,0.5
Marcos Rojo,2017-2018,0,0,23,639,8,26.0,151.4,47.0,4,126,22.5,3,0,6,0.1
Antonio Valencia,2017-2018,3,1,146,2741,22,438.5,559.2,259.0,13,660,125.5,16,0,7,11.7
Matteo Darmian,2017-2018,0,0,27,443,3,25.3,95.0,6.0,3,119,12.6,3,0,0,0.2
Daley Blind,2017-2018,0,0,28,360,0,93.0,65.8,15.0,1,119,17.3,4,0,0,0.9
Eric Bailly,2017-2018,1,0,55,1000,6,28.4,222.0,79.0,3,248,33.0,7,0,2,5.7
Axel Tuanzebe,2017-2018,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,1.1
Victor LindelÃ¶f,2017-2018,0,0,47,1284,14,37.7,272.8,8.0,1,297,32.0,5,0,1,1.3
Juan Mata,2017-2018,3,5,100,1919,10,849.9,422.8,453.0,6,418,172.1,15,0,1,2.0
Marouane Fellaini,2017-2018,4,0,47,611,1,88.2,246.0,264.0,3,171,59.8,4,0,1,0.6
Michael Carrick,2017-2018,0,0,4,108,0,13.7,23.2,41.0,0,19,7.8,1,0,0,1.0
Ashley Young,2017-2018,2,6,98,2444,26,502.3,601.2,213.0,11,479,131.6,9,0,7,2.4
Ander Herrera,2017-2018,0,2,44,1257,14,229.4,294.4,101.0,0,229,62.7,5,0,5,1.3
Jesse Lingard,2017-2018,8,6,128,1807,18,519.1,526.6,711.0,10,450,175.3,9,0,2,10.3
Anthony Martial,2017-2018,9,6,125,1572,13,509.3,535.4,748.0,7,403,179.5,9,0,1,2.6
Paul Pogba,2017-2018,6,13,138,2145,20,663.5,710.8,780.0,15,528,215.6,11,1,5,14.7
Scott McTominay,2017-2018,0,0,21,629,3,53.6,78.2,11.0,0,96,14.2,4,0,2,0.8
Marcus Rashford,2017-2018,7,5,104,1799,16,412.1,470.8,838.0,11,387,171.7,10,0,3,7.6
Romelu Lukaku,2017-2018,16,7,162,2866,26,572.4,831.0,1334.0,18,593,273.2,14,0,4,21.9
Andreas Pereira,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Zlatan Ibrahimovic,2017-2018,0,0,5,102,2,43.5,14.8,68.0,0,18,12.6,0,0,0,0.2
Robert Kenedy Nunes do Nascimento,2017-2018,2,2,51,1023,9,224.1,236.4,253.0,5,171,71.4,6,0,1,2.0
Islam Slimani,2017-2018,1,1,25,369,4,100.8,83.2,115.0,1,76,29.6,1,0,1,0.3
Robert Elliot,2017-2018,0,0,57,1440,21,0.0,364.2,0.0,4,280,36.5,3,0,0,13.6
Karl Darlow,2017-2018,0,0,33,900,15,0.0,258.8,0.0,2,172,25.9,2,0,0,0.2
DeAndre Yedlin,2017-2018,0,2,88,2842,37,340.7,494.4,63.0,5,467,90.0,7,0,5,1.7
Ciaran Clark,2017-2018,2,1,64,1745,30,50.8,433.6,190.0,6,317,67.5,4,0,3,1.5
Jamaal Lascelles,2017-2018,3,0,116,2927,31,77.2,800.0,234.0,9,567,111.5,9,0,5,9.5
Paul Dummett,2017-2018,0,0,52,1602,18,97.8,333.6,58.0,0,280,49.0,5,0,1,1.1
Grant Hanley,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4
JesÃºs GÃ¡mez Duarte,2017-2018,0,0,9,97,0,47.6,32.2,4.0,2,38,8.4,1,0,0,1.5
Florian Lejeune,2017-2018,0,2,66,2103,32,92.3,557.0,139.0,6,406,78.9,5,0,3,0.9
Matt Ritchie,2017-2018,3,7,116,2802,35,844.4,561.2,520.0,10,489,192.6,9,0,6,2.3
Jonjo Shelvey,2017-2018,1,4,73,2264,30,639.9,442.6,243.0,4,360,132.3,6,2,2,0.6
Yoan Gouffran,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Mohamed DiamÃ©,2017-2018,2,0,70,2034,27,214.2,431.8,203.0,3,340,85.3,6,0,3,0.3
Jack Colback,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7
Christian Atsu,2017-2018,2,4,78,1776,22,340.6,308.8,480.0,5,236,112.9,6,0,1,1.2
Dwight Gayle,2017-2018,6,3,94,1946,31,333.6,352.0,808.0,8,276,148.7,6,0,3,1.1
Ayoze PÃ©rez,2017-2018,8,6,124,2486,28,539.0,571.8,809.0,15,420,191.7,8,0,3,6.5
Aleksandar Mitrovic,2017-2018,1,0,10,89,0,44.7,48.2,73.0,0,37,16.6,0,0,0,0.6
Daryl Murphy,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7
Massadio Haidara,2017-2018,0,0,1,3,0,0.0,0.0,0.0,0,3,0.0,0,0,0,1.8
Siem de Jong,2017-2018,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
Rolando Aarons,2017-2018,0,0,5,136,2,8.1,12.0,25.0,0,19,4.6,0,0,0,0.1
Javier Manquillo,2017-2018,0,1,49,1757,31,164.8,266.0,26.0,1,247,45.9,4,0,2,0.6
Jacob Murphy,2017-2018,1,2,51,1137,25,159.7,161.8,227.0,2,171,54.7,2,0,0,0.1
Jose Luis Mato SanmartÃ­n,2017-2018,4,1,69,1703,25,254.8,291.2,526.0,5,227,106.5,5,0,2,0.4
Chancel Mbemba,2017-2018,0,0,20,670,11,67.1,158.2,6.0,3,133,23.2,1,0,0,10.1
